"","text"
764,"AS, DISH or something else?"
765,"A 68-year-old farmer presented with progressively worsening pain in multiple joints associated with stiffening for 9 months. Locomotor examination revealed grossly restricted movement of the axial skeleton. There were no neurological deficits. Radiological evaluation demonstrated diffuse bone densification and extraspinal calcification with bony ankylosis reminiscent of ankylosing spondylitis. Laboratory tests subsequently yielded the true diagnosis. The patient was counselled accordingly and started on appropriate therapy."
766,"CT diagnosis of an iatrogenic bile duct injury."
767,"Bile duct injuries are a recognised complication of cholecystectomy and a number of options exist for their evaluation. A 44-year-old woman presented with a suspected biliary leak 11 days following an open cholecystectomy. Her medical history was significant for biliopancreatic diversion 2 years previously. An ultrasound scan demonstrated a perihepatic collection but no dilation of the biliary tree was observed. The patient's surgical history and the lack of biliary dilation precluded an endoscopic retrograde cholangiopancreatography or percutaneous transhepatic cholangiography, and she could not undergo an MR cholangiopancreatography due to claustrophobia. A CT cholangiogram was performed and clarified the location of the injury, facilitating operative identification and repair of the bile duct. CT cholangiography performed as a dynamic procedure is useful as a means of identifying bile duct injuries."
768,"The biology of radiosurgery and its clinical applications for brain tumors."
769,"Stereotactic radiosurgery (SRS) was developed decades ago but only began to impact brain tumor care when it was coupled with high-resolution brain imaging techniques such as computed tomography and magnetic resonance imaging. The technique has played a key role in the management of virtually all forms of brain tumor. We reviewed the radiobiological principles of SRS on tissue and how they pertain to different brain tumor disorders. We reviewed the clinical outcomes on the most common indications. This review found that outcomes are well documented for safety and efficacy and show increasing long-term outcomes for benign tumors. Brain metastases SRS is common, and its clinical utility remains in evolution. The role of SRS in brain tumor care is established. Together with surgical resection, conventional radiotherapy, and medical therapies, patients have an expanding list of options for their care. Clinicians should be familiar with radiosurgical principles and expected outcomes that may pertain to different brain tumor scenarios."
770,"Nebivolol, But Not Metoprolol, Lowers Blood Pressure in Nitric Oxide-Sensitive Human Hypertension."
771,"Nebivolol, unlike other selective beta1-receptor blockers, induces vasodilation attributable to increased NO bioavailability. The relative contribution of this mechanism to the blood pressure (BP)-lowering effects of nebivolol is unclear because it is normally masked by baroreflex buffering. Autonomic failure provides a unique model of hypertension devoid of autonomic modulation but sensitive to the hypotensive effects of NO potentiation. We tested the hypothesis that nebivolol would decrease BP in these patients through a mechanism independent of beta-blockade. We randomized 20 autonomic failure patients with supine hypertension (14 men; 69+/-2 years) to receive a single oral dose of placebo, nebivolol 5 mg, metoprolol 50 mg (negative control), and sildenafil 25 mg (positive control) on separate nights in a double-blind, crossover study. Supine BP was monitored every 2 hours from 8:00 pm to 8:00 am. Compared with placebo, sildenafil and nebivolol decreased systolic BP during the night (P<0.001 and P=0.036, by mixed-effects model, maximal systolic BP reduction 8-hour postdrug of -20+/-6 and -24+/-9 mm Hg, respectively), whereas metoprolol had no effect. In a subanalysis, we divided patients into sildenafil responders (BP fall >20 mm Hg at 4:00 am) and nonresponders. Nebivolol significantly lowered systolic BP in sildenafil responders (-44+/-13 mm Hg) but not in nonresponders (1+/-11 mm Hg). Despite lowering nighttime BP, nebivolol did not worsen morning orthostatic tolerance compared with placebo. In conclusion, nebivolol effectively lowered supine hypertension in autonomic failure, independent of beta1-blockade. These results are consistent with the hypothesis that NO potentiation contributes significantly to the antihypertensive effect of nebivolol."
772,"Prenatal Hypoxia Leads to Increased Muscle Sympathetic Nerve Activity, Sympathetic Hyperinnervation, Premature Blunting of Neuropeptide Y Signaling, and Hypertension in Adult Life."
773,"Adverse conditions prenatally increase the risk of cardiovascular disease, including hypertension. Chronic hypoxia in utero (CHU) causes endothelial dysfunction, but whether sympathetic vasoconstrictor nerve functioning is altered is unknown. We, therefore, compared in male CHU and control (N) rats muscle sympathetic nerve activity, vascular sympathetic innervation density, and mechanisms of sympathetic vasoconstriction. In young (Y)-CHU and Y-N rats ( approximately 3 months), baseline arterial blood pressure was similar. However, tonic muscle sympathetic nerve activity recorded focally from arterial vessels of spinotrapezius muscle had higher mean frequency in Y-CHU than in Y-N rats (0.56+/-0.075 versus 0.33+/-0.036 Hz), and the proportions of single units with high instantaneous frequencies (1-5 and 6-10 Hz) being greater in Y-CHU rats. Sympathetic innervation density of tibial arteries was approximately 50% greater in Y-CHU than in Y-N rats. Increases in femoral vascular resistance evoked by sympathetic stimulation at low frequency (2 Hz for 2 minutes) and bursts at 20 Hz were substantially smaller in Y-CHU than in Y-N rats. In Y-N only, the neuropeptide Y Y1-receptor antagonist BIBP3226 attenuated these responses. By contrast, baseline arterial blood pressure was higher in middle-aged (M)-CHU than in M-N rats ( approximately 9 months; 139+/-3 versus 126+/-3 mm Hg, respectively). BIBP3226 had no effect on femoral vascular resistance increases evoked by 2 Hz or 20 Hz bursts in M-N or M-CHU rats. These results indicate that fetal programming induced by prenatal hypoxia causes an increase in centrally generated muscle sympathetic nerve activity in youth and hypertension by middle age. This is associated with blunting of sympathetically evoked vasoconstriction and its neuropeptide Y component that may reflect premature vascular aging and contribute to increased risk of cardiovascular disease."
774,"Effect of Hypoglycemia on Brain Structure in People With Type 2 Diabetes: Epidemiological Analysis of the ACCORD-MIND MRI Trial."
775,"OBJECTIVE: The effect of hypoglycemia related to treatment of type 2 diabetes mellitus (T2DM) on brain structure remains unclear. We aimed to assess whether symptomatic severe hypoglycemia is associated with brain atrophy and/or white matter abnormalities. RESEARCH DESIGN AND METHODS: We included T2DM participants with brain MRI from the Action to Control Cardiovascular Risk in Diabetes-Memory in Diabetes (ACCORD-MIND) trial. Symptomatic severe hypoglycemia was defined as blood glucose <2.8 mmol/L or symptoms resolved with treatments that required the assistance of another person or medical assistance (hypoglycemia requiring assistance [HA]). Standardized brain MRI was performed at baseline and at 40 months. Total brain volume (TBV) and abnormal white matter (AWM) volume were calculated using an automated computer algorithm. Brain MRI scans of hypoglycemic participants were also reviewed for local disease. RESULTS: Of the 503 T2DM participants (mean age, 62 years) with successful baseline and 40-month brain MRI, 28 had at least one HA episode during the 40-month follow-up. Compared with participants without HA, those with HA had marginally significant less atrophy (less decrease in TBV) from baseline to 40 months (-9.55 [95% CI -15.21, -3.90] vs. -15.38 [95% CI -16.64, -14.12], P = 0.051), and no significant increase of AWM volume (2.06 [95% CI 1.71, 2.49] vs. 1.84 [95% CI 1.76, 1.91], P = 0.247). In addition, no unexpected local signal changes or volume loss were seen on hypoglycemic participants' brain MRI scans. CONCLUSIONS: Our study suggests that hypoglycemia related to T2DM treatment may not accentuate brain pathology, specifically brain atrophy or white matter abnormalities."
776,"Immunoglobulin E plays an immunoregulatory role in lupus."
777,"The (patho)physiological role of IgE in nonallergic inflammatory diseases is not well understood. Here, we explored the effect of IgE deficiency on the inflammatory response in FcgammaRIIB-deficient mice as well as in mice carrying both a deletion of FcgammaRIIB and the chromosomal translocation of Y-linked autoimmune acceleration (Yaa) that hastens and results in a more aggressive lupuslike disease in these mice. The findings show that deficiency of IgE delays disease development and severity as demonstrated by reduced autoantibody production and amelioration of organ pathologies. This was associated with decreased numbers of plasma cells and reduced levels of IgG2b and IgG3. Unexpectedly, the loss of IgE also caused a striking decrease of immune cell infiltration in secondary lymphoid organs with a marked effect on the presence of dendritic cells, monocytes, neutrophils, and eosinophils in these organs and decreased activation of basophils. The presence of autoreactive IgE in human systemic lupus erythematosus subjects was also associated with increased basophil activation and enhanced disease activity. These findings argue that IgE facilitates the amplification of autoimmune inflammation."
778,"Short-term changes in hormonal profiles after laparoscopic ovarian laser evaporation compared with diagnostic laparoscopy for PCOS."
779,"STUDY QUESTION: Which reproductive endocrine changes are attributed exclusively to laparoscopic ovarian drilling in polycystic ovarian syndrome (PCOS)? SUMMARY ANSWER: Laser evaporation-specific endocrine effects were the prevention of an immediate increase in inhibin B and a sustained decrease in testosterone, androstenedione and anti-Mullarian hormone (AMH). WHAT IS KNOWN ALREADY: All ovarian drilling procedures result in reproductive endocrine changes. It is not known which of these changes are the result of ovarian drilling and which are related to the surgery per se. STUDY DESIGN, SIZE, DURATION: This prospective controlled study was performed at an outpatient academic fertility clinic. Between 2007 and 2010, a total of 21 oligo- or amenorrheic PCOS patients were included. PARTICIPANTS/MATERIALS, SETTING, METHODS: Included were oligo- or amenorrheic PCOS patients with all three of the Rotterdam criteria and luteinizing hormone (LH) >6.5 U/l. All PCOS patients had an indication for diagnostic surgery due to subfertility. There were 12 PCOS patients who chose to undergo ovarian laser evaporation (CO2 laser, 25 W, 20 times/ovary) and 9 PCOS who chose a diagnostic laparoscopy only (controls). Reproductive endocrinology was measured before, and until 5 days after, surgery, and four gonadotrophin-releasing hormone (GnRH) 'double pulse' tests were included. The main outcome measures were changes in reproductive endocrinology and pituitary sensitivity/priming to GnRH after laser evaporation compared with diagnostic laparoscopy only. MAIN RESULTS AND THE ROLE OF CHANCE: In the first hours after surgery, both groups showed an increase in LH, follicle stimulating hormone, estrogen and a decrease in testosterone, androstenedione, AMH and insulin growth factor-1 (P < 0.05). Inhibin B increased in the laparoscopy only group (P < 0.05). In the first days after surgery, testosterone, androstenedione and AMH remained at lower than baseline levels exclusively in the laser group (P < 0.05). Pituitary sensitivity/priming to GnRH was not altered after either laser evaporation or laparoscopy only. LIMITATIONS, REASONS FOR CAUTION: The limitations of this study are the short follow-up period and the relatively small groups. WIDER IMPLICATIONS OF THE FINDINGS: The strength of this study is the integrally measured endocrine profiles in combination with an optimal control group of PCOS patients undergoing diagnostic laparoscopy only. Interestingly, most of the immediate endocrine changes after laser evaporation could be related to the surgical context and not to the ovarian drilling procedure itself. STUDY FUNDING/COMPETING INTERESTS: The study was funded by the Foundation of Scientific Research in Obstetrics and Gynaecology and the study medication, Lutrelef, was donated by Ferring, The Netherlands, Hoofdorphe There were no conflicts of interests mentioned by the authors."
780,"Lipid profiles and ovarian reserve status: a longitudinal study."
781,"STUDY QUESTION: Is there any association between ovarian reserve status and lipid profile changes? SUMMARY ANSWER: Women with lower ovarian reserve might be susceptible to higher cardiovascular risks, especially lipid disturbances, even during their reproductive life span. WHAT IS KNOWN ALREADY: The risk of developing cardiovascular disease (CVD) in women increases after menopause, but the association between ovarian reserve status and CVD is not known. STUDY DESIGN, SIZE AND DURATION: This longitudinal study was conducted on 1015 participants of Tehran Lipid and Glucose Study, an ongoing population based cohort study with 12 years follow-up. PARTICIPANTS/MATERIALS, SETTING, METHODS: There were 1015 women who were aged 20-50 years and met our eligibility criteria. Their ovarian reserve status was identified according to their age-specific AMH levels, calculated using the exponential-normal 3-parameter model. At the time of recruitment, 268, 233, 256 and 258 subjects were in the first, second, third and fourth quartiles of age-specific AMH, respectively. The cardiovascular risk factors of these groups were compared. MAIN RESULTS AND THE ROLE OF CHANCE: Anthropometric measurements, lipid profiles and mean systolic and diastolic blood pressures in the first and fourth AMH quartiles did not differ at the initiation of the study. Total cholesterol (TC) net changes per year were incremental in the first AMH quartile but not in the fourth quartile (P < 0.001). According to the generalized estimating equation (GEE), after adjustment for age, BMI, time interaction and menopause status, the changes across time in TC, LDL and HDL were varied according to the age-specific AMH status. LIMITATIONS, REASONS FOR CAUTION: A potential limitation is that development of cardiovascular risk is a major long-term event that needs decades of follow-up from birth to death; hence further studies with longer follow-up times are needed. WIDER IMPLICATIONS OF THE FINDINGS: We provide the insight that women with lower ovarian reserve might be susceptible to developing cardiovascular risk factors, particularly lipid disturbances, even during their reproductive life span. STUDY FUNDING/COMPETING INTERESTS: This study was funded by Research Institute for Endocrine Sciences, Shahid Beheshti University of Medical Sciences. The authors report no conflict of interest. TRIAL REGISTRATION NUMBER: Not applicable."
782,"Laser-assisted zona pellucida thinning does not facilitate hatching and may disrupt the in vitro hatching process: a morphokinetic study in the mouse."
783,"STUDY QUESTION: Does laser-assisted zona thinning of cleavage stage mouse embryos facilitate hatching in vitro? SUMMARY ANSWER: No, unlike laser zona opening, zona thinning does not facilitate embryo hatching. WHAT IS KNOWN ALREADY: Artificial opening of the zona pellucida facilitates hatching of mouse and human embryos. Laser-assisted zona thinning has also been used for the purpose of assisted hatching of human embryos but it has not been properly investigated in an animal model; thinning methods have produced inconsistent clinical results. STUDY DESIGN, SIZE, DURATION: Time-lapse microscopy was used to study the hatching process in the mouse after zona opening and zona thinning; a control group of embryos was not zona-manipulated but exposed to the same laser energy. PARTICIPANTS/MATERIALS, SETTING, METHODS: Eight-cell CB6F1/J mouse embryos were pooled and allocated to three groups (n = 56 per group): A control group of embryos that were exposed to a dose of laser energy focused outside the zona pellucida (zona intact); one experimental group of embryos in which the zona pellucida was opened by complete ablation using the same total number of pulses as the control group; a second experimental group of embryos in which the zona pellucida was thinned to establish a smooth lased area using the same number of pulses as used in the other two groups. The width of the zona opening was 25 mum and width of the thinned area was 35 mum. Development was monitored by time-lapse microscopy. Overall treatment differences for continuous variables were analyzed by analysis of variance and pairwise comparisons using the Student t-test allowing for unequal variances, while for categorical data, a standard chi-squared test was utilized for all pairwise comparisons. MAIN RESULTS AND THE ROLE OF CHANCE: The frequency of complete hatching was 33.9% in the control group, 94.4% after zona opening, and 39.3% after zona thinning (overall group comparison, P < 0.0001). Overall, 60.7% of the zona-thinned embryos did not complete the hatching process and remained trapped within the zona; when they did hatch, they did not necessarily hatch from the zona-thinned area. Hatching in about one-third of the zona-intact embryos began with breaches at multiple sites by small groups of cells. Likewise, 53.6% of zona-thinned embryos had multiple breaches, always involving an area outside the thinned zone. Zona opening decreased multiple breaching and led to blastocyst escape an average of 14 h earlier than zona-thinned embryos and 5.5 h before control embryos (P = 0.0003). LIMITATIONS, REASONS FOR CAUTION: The experiments presented here were limited to in vitro experiments performed in the mouse. Whether human embryos would behave the same way under similar circumstances is unknown. We postulate that zona thinning is not beneficial in human embryos. WIDER IMPLICATIONS OF THE FINDINGS: The experiments demonstrate that zona thinning is not equivalent to zona opening for assisted hatching. The study provides reason for systematic reviews of assisted hatching trials to take the method of assisted hatching into consideration and not combine the results of zona thinning and zona opening procedures. STUDY FUNDING/COMPETING INTERESTS: Institutional funds were used for the study. No competing interests are declared."
784,"Using cluster analysis to identify a homogeneous subpopulation of women with polycystic ovarian morphology in a population of non-hyperandrogenic women with regular menstrual cycles."
785,"STUDY QUESTION: Can cluster analysis can be used to identify a homogeneous subpopulation of women with polycystic ovarian morphology (PCOM) within a very large population of control women in a non-subjective way? SUMMARY ANSWER: Identification and exclusion of the cluster corresponding to women with PCOM from controls improved the diagnostic power of serum anti-Mullerian hormone (AMH) level and follicle number per ovary (FNPO) in discriminating between women with or without polycystic ovary syndrome (PCOS). WHAT IS KNOWN ALREADY: There is disagreement as to whether women with PCOM should be excluded from the control population when establishing FNPO and AMH diagnostic thresholds for the definition of PCOS and how to identify such women. It has been demonstrated that cluster analysis can detect women with PCOM within the control population through a set of classifying variables among which the most relevant was AMH. The adequacy of this approach has not been confirmed in other clinical settings. STUDY DESIGN, SIZE, DURATION: This was a retrospective study using clinical and laboratory data derived from the computerized database. The data were collected from March 2011 to May 2013. PARTICIPANTS/MATERIALS, SETTING, METHODS: The study included 893 patients referred for routine infertility evaluation and treatment. The patients were divided into three groups: (i) the control group (n = 621) included women with regular menstrual cycles and no signs of hyperandrogenism (HA), (ii) the full-blown PCOS group (n = 95) consisted of women who were diagnosed as having PCOS based on the presence of both HA and oligo/amenorrhoea (OA), (iii) the mild PCOS group included women with only two items of the Rotterdam classification, i.e. PCOM at ultrasonography according to the FNPO threshold of 12 or more and either OA (n = 110) or HA (n = 67). MAIN RESULTS AND THE ROLE OF CHANCE: After exclusion of women with PCOM from the controls, the AMH threshold of 28 pmol/l with specificity 97.5% and sensitivity 84.2% [area under the curve (AUC) 0.948 (95% confidence interval (CI) 0.915-0.982)] and FNPO threshold of 12 with specificity 92.5% and sensitivity 83.2% [AUC 0.940 (95% CI 0.909-0.971)] for identifying PCOS were derived from the receiver operating characteristic curve analysis. The AMH threshold of 28 pmol/l had the same specificity for discriminating the mild and the full-blown PCOS phenotypes from controls. LIMITATIONS, REASONS FOR CAUTION: There was no selection bias other than being evaluated for infertility treatment, however, this could also be considered as a limitation of the study as these women may not necessarily be a representative sample of the general population. The study demonstrated that serum AMH has intrinsically a very high potency to detect women with PCOM within a control group. However, the AMH threshold is specific for this method and clinical setting. WIDER IMPLICATIONS OF THE FINDINGS: AMH threshold value for the definition of PCOM is method specific and cannot be universally applied. This study confirmed the results of previous studies that cluster analysis can identify women with PCOM within the very large control population without using a predefined diagnostic threshold for FNPO, and that AMH can detect women with PCOM with a high specificity. The exclusion of PCOM women from the controls by using a cluster analysis should be considered when establishing reference intervals and decision threshold values for various parameters used to characterize PCOS. STUDY FUNDING/COMPETING INTERESTS: The authors have no funding/competing interest(s) to declare."
786,"Outcomes for patients with the same disease treated inside and outside of randomized trials: a systematic review and meta-analysis."
787,"BACKGROUND: It is unclear whether participation in a randomized controlled trial (RCT), irrespective of assigned treatment, is harmful or beneficial to participants. We compared outcomes for patients with the same diagnoses who did (""insiders"") and did not (""outsiders"") enter RCTs, without regard to the specific therapies received for their respective diagnoses. METHODS: By searching the MEDLINE (1966-2010), Embase (1980-2010), CENTRAL (1960-2010) and PsycINFO (1880-2010) databases, we identified 147 studies that reported the health outcomes of ""insiders"" and a group of parallel or consecutive ""outsiders"" within the same time period. We prepared a narrative review and, as appropriate, meta-analyses of patients' outcomes. RESULTS: We found no clinically or statistically significant differences in outcomes between ""insiders"" and ""outsiders"" in the 23 studies in which the experimental intervention was ineffective (standard mean difference in continuous outcomes -0.03, 95% confidence interval [CI] -0.1 to 0.04) or in the 7 studies in which the experimental intervention was effective and was received by both ""insiders"" and ""outsiders"" (mean difference 0.04, 95% CI -0.04 to 0.13). However, in 9 studies in which an effective intervention was received only by ""insiders,"" the ""outsiders"" experienced significantly worse health outcomes (mean difference -0.36, 95% CI -0.61 to -0.12). INTERPRETATION: We found no evidence to support clinically important overall harm or benefit arising from participation in RCTs. This conclusion refutes earlier claims that trial participants are at increased risk of harm."
788,"Raised levels of immunoglobulin G, A and M are associated with an increased risk of total and cause-specific mortality: the Vietnam Experience Study."
789,"BACKGROUND: Immunoglobulins (Ig) are essential for combating infectious disease. However, high levels are associated with a range of diseases and/or poor health behaviours, such as autoimmune diseases, chronic infection, HIV and excessive alcohol consumption. In the present analyses, we extend this body of work by examining whether higher levels of serum Ig G, A and M are associated with increased mortality risk. METHODS: Participants were 4255 Vietnam-era, former US army personnel (the Vietnam Experience Study). From military service files, telephone interviews in 1983 and a medical examination in 1986, sociodemographic, and health data were collected. Contemporary morning fasted blood samples were taken from which IgG, IgA and IgM concentrations were determined. Mortality surveillance over 15 years gave rise to deaths ascribed to all-causes, cardiovascular disease mortality, all cancers combined mortality, external cause and 'other' causes (predominantly comprising deaths due to infectious disease). Cox proportional hazard models were utilised to compute HRs per SD increase in Ig which were first adjusted for age and then additionally adjusting for a range of candidate confounders. RESULTS: In multiply adjusted analyses, in general, the higher the immunoglobulin concentration, the greater the risk of death. Thus, IgA (HR=2.0 95% CI 1.47 to 2.73), IgM (HR=1.5 95% CI 1.11 to 1.91) and IgG (HR=5.8 95% CI 3.38 to 9.95) were positively related to all-cause mortality. Corresponding results for 'other' causes of mortality were 4.7 (2.64 to 8.19), 3.5 (2.29 to 5.45) and 33.4 (15.13 to 73.64). CONCLUSIONS: In the present study, high levels of Ig are associated with an elevated risk of death from total and 'other' causes, mainly infectious disease. High levels of Ig, particularly IgG, may signal subclinical disease."
790,"Did Changes in Drug Reimbursement After the Medicare Modernization Act Affect Chemotherapy Prescribing?"
791,"PURPOSE: The Medicare Prescription Drug, Improvement, and Modernization Act of 2003 (MMA) decreased fee-for-service (FFS) payments for outpatient chemotherapy. We assessed how this policy affected chemotherapy in FFS settings versus in integrated health networks (IHNs). PATIENTS AND METHODS: We examined 5,831 chemotherapy regimens for 3,613 patients from 2003 to 2006 with colorectal cancer (CRC) or lung cancers in the Cancer Care Outcomes Research Surveillance Consortium. Patients were from four geographically defined regions, seven large health maintenance organizations, and 15 Veterans Affairs Medical Centers. The outcome of interest was receipt of chemotherapy that included at least one drug for which reimbursement declined after the MMA. RESULTS: The odds of receiving an MMA-affected drug were lower in the post-MMA era: the odds ratio (OR) was 0.73 (95% CI, 0.59 to 0.89). Important differences across cancers were detected: for CRC, the OR was 0.65 (95% CI, 0.46 to 0.92); for non-small-cell lung cancer (NSCLC), the OR was 1.60 (95% CI, 1.09 to 2.35); and for small-cell lung cancer, the OR was 0.63 (95% CI, 0.34 to 1.16). After the MMA, FFS patients were less likely to receive MMA-affected drugs: OR, 0.73 (95% CI, 0.59 to 0.89). No pre- versus post-MMA difference in the use of MMA-affected drugs was detected among IHN patients: OR, 1.01 (95% CI, 0.66 to 1.56). Patients with CRC were less likely to receive an MMA-affected drug in both FFS and IHN settings in the post- versus pre-MMA era, whereas patients with NSCLC were the opposite: OR, 1.60 (95% CI, 1.09 to 2.35) for FFS and 6.33 (95% CI, 2.09 to 19.11) for IHNs post- versus pre-MMA. CONCLUSION: Changes in reimbursement after the passage of MMA appear to have had less of an impact on prescribing patterns in FFS settings than the introduction of new drugs and clinical evidence as well as other factors driving adoption of new practice patterns."
792,"Phase I/II Study of the Antibody-Drug Conjugate Glembatumumab Vedotin in Patients With Locally Advanced or Metastatic Breast Cancer."
793,"PURPOSE: Glycoprotein NMB (gpNMB), a novel transmembrane protein overexpressed in 40% to 60% of breast cancers, promotes metastases in animal models and is a prognostic marker of a poor outcome in patients. The antibody-drug conjugate glembatumumab vedotin consists of a fully human anti-gpNMB monoclonal antibody, conjugated via a cleavable linker to monomethyl auristatin E. Glembatumumab vedotin is generally well tolerated, with observed objective responses in advanced melanoma. This is, to our knowledge, the first study of glembatumumab vedotin in breast cancer. PATIENTS AND METHODS: Eligible patients had advanced/metastatic breast cancer with at least two prior chemotherapy regimens, including taxane, anthracycline, and capecitabine. A standard 3+3 dose escalation was followed by a phase II expansion. Immunohistochemistry for gpNMB was performed retrospectively for patients with available tumor tissue. RESULTS: Forty-two patients were enrolled. Dose-limiting toxicity (DLT) consisted of worsening neuropathy at 1.34 mg/kg. After excluding patients with baseline neuropathy more than grade 1, no DLT occurred through 1.88 mg/kg (the phase II dose). The phase II primary activity end point was met (12-week progression-free survival [PFS12] = 9 of 27 patients; 33%). Sixteen of 19 (84%) patients tested had gpNMB-positive tumors. At the phase II dose, median PFS was 9.1 weeks for all patients, 17.9 weeks for patients with triple-negative breast cancer (TNBC), and 18.0 weeks for patients with gpNMB-positive tumors. Two patients had confirmed partial responses; both had gpNMB-positive tumors and one had TNBC. CONCLUSION: Glembatumumab vedotin has an acceptable safety profile. Preliminary evidence of activity in treatment-resistant metastatic breast cancer requires confirmation, such as the phase II randomized trial (EMERGE) that also examines the relationship between activity and gpNMB distribution/intensity."
794,"Multi-Institutional Study of Post-Transplantation Cyclophosphamide As Single-Agent Graft-Versus-Host Disease Prophylaxis After Allogeneic Bone Marrow Transplantation Using Myeloablative Busulfan and Fludarabine Conditioning."
795,"PURPOSE: The clinical safety and efficacy of intravenous busulfan and fludarabine (IV Bu/Flu) myeloablative conditioning as well as graft-versus-host disease (GVHD) prophylaxis with high-dose, post-transplantation cyclophosphamide (PTCy) have been demonstrated independently in several single-institutional studies. We hypothesized that combining these two promising approaches in a multi-institutional study of human leukocyte antigen (HLA) -matched bone marrow transplantation would provide low rates of severe acute and chronic GVHD, low toxicity, and effective disease control. PATIENTS AND METHODS: Ninety-two adult patients (median age, 49 years; range, 21 to 65 years) with high-risk hematologic malignancies were enrolled at three centers (clinical trial No. NCT00809276). Forty-five patients received related allografts, and 47 received unrelated allografts. GVHD prophylaxis was solely with PTCy at 50 mg/kg/day on post-transplantation days +3 and +4. RESULTS: The cumulative incidences of grades 2 to 4 acute, grades 3 to 4 acute, and chronic GVHD were 51%, 15%, and 14%, respectively. Nonrelapse mortality (NRM) at 100 days and 1 year were 9% and 16%, respectively. With a median follow-up period of 2.2 years, the 2-year disease-free survival (DFS) and overall survival (OS) rates were 62% and 67%, respectively. Donor relatedness did not affect NRM, DFS, or OS. Patients in complete remission (CR) without evidence of minimal residual disease (MRD) had markedly better DFS (80%) and OS (80%) than patients in CR with MRD or with active disease at the time of transplantation (DFS, P = .0005; OS, P = .019). CONCLUSION: This multi-institutional study demonstrates that PTCy can be safely and effectively combined with IV Bu/Flu myeloablative conditioning and confirms PTCy's efficacy as single-agent, short-course GVHD prophylaxis for both acute and chronic GVHD after bone marrow transplantation from HLA-matched donors."
796,"p16 Protein Expression and Human Papillomavirus Status As Prognostic Biomarkers of Nonoropharyngeal Head and Neck Squamous Cell Carcinoma."
797,"PURPOSE: Although p16 protein expression, a surrogate marker of oncogenic human papillomavirus (HPV) infection, is recognized as a prognostic marker in oropharyngeal squamous cell carcinoma (OPSCC), its prevalence and significance have not been well established in cancer of the oral cavity, hypopharynx, or larynx, collectively referred as non-OPSCC, where HPV infection is less common than in the oropharynx. PATIENTS AND METHODS: p16 expression and high-risk HPV status in non-OPSCCs from RTOG 0129, 0234, and 0522 studies were determined by immunohistochemistry (IHC) and in situ hybridization (ISH). Hazard ratios from Cox models were expressed as positive or negative, stratified by trial, and adjusted for clinical characteristics. RESULTS: p16 expression was positive in 14.1% (12 of 85), 24.2% (23 of 95), and 19.0% (27 of 142) and HPV ISH was positive in 6.5% (six of 93), 14.6% (15 of 103), and 6.9% (seven of 101) of non-OPSCCs from RTOG 0129, 0234, and 0522 studies, respectively. Hazard ratios for p16 expression were 0.63 (95% CI, 0.42 to 0.95; P = .03) and 0.56 (95% CI, 0.35 to 0.89; P = .01) for progression-free (PFS) and overall survival (OS), respectively. Comparing OPSCC and non-OPSCC, patients with p16-positive OPSCC have better PFS and OS than patients with p16-positive non-OPSCC, but patients with p16-negative OPSCC and non-OPSCC have similar outcomes. CONCLUSION: Similar to results in patients with OPSCC, patients with p16-negative non-OPSCC have worse outcomes than patients with p16-positive non-OPSCC, and HPV may also have a role in outcome in a subset of non-OPSCC. However, further development of a p16 IHC scoring system in non-OPSCC and improvement of HPV detection methods are warranted before broad application in the clinical setting."
798,"Cognitive Function After the Initiation of Adjuvant Endocrine Therapy in Early-Stage Breast Cancer: An Observational Cohort Study."
799,"PURPOSE: This report examines cognitive complaints and neuropsychological (NP) testing outcomes in patients with early-stage breast cancer after the initiation of endocrine therapy (ET) to determine whether this therapy plays any role in post-treatment cognitive complaints. PATIENTS AND METHODS: One hundred seventy-three participants from the Mind Body Study (MBS) observational cohort provided data from self-report questionnaires and NP testing obtained at enrollment (T1, before initiation of ET), and 6 months later (T2). Bivariate analyses compared demographic and treatment variables, cognitive complaints, depressive symptoms, quality of life, and NP functioning between those who received ET versus not. Multivariable linear regression models examined predictors of cognitive complaints at T2, including selected demographic variables, depressive symptoms, ET use, and other medical variables, along with NP domains that were identified in bivariate analyses. RESULTS: Seventy percent of the 173 MBS participants initiated ET, evenly distributed between tamoxifen or aromatase inhibitors. ET-treated participants reported significantly increased language and communication (LC) cognitive complaints at T2 (P = .003), but no significant differences in NP test performance. Multivariable regression on LC at T2 found higher LC complaints significantly associated with T1 LC score (P < .001), ET at T2 (P = .004), interaction between ET and past hormone therapy (HT) (P < .001), and diminished improvement in NP psychomotor function (P = .05). Depressive symptoms were not significant (P = .10). CONCLUSION: Higher LC complaints are significantly associated with ET 6 months after starting treatment and reflect diminished improvements in some NP tests. Past HT is a significant predictor of higher LC complaints after initiation of ET."
800,"Shorter-Duration Therapy Using Vincristine, Dactinomycin, and Lower-Dose Cyclophosphamide With or Without Radiotherapy for Patients With Newly Diagnosed Low-Risk Rhabdomyosarcoma: A Report From the Soft Tissue Sarcoma Committee of the Children's Oncology Group."
