許可證字號,註銷狀態,註銷日期,註銷理由,有效日期,發證日期,許可證種類,醫療器材級數,通關簽審文件編號,中文品名,英文品名,醫器主類別一,醫器次類別一,限制項目,申請商名稱,申請商地址,申請商統一編號,製造商名稱,製造廠廠址,製造廠國別,異動日期,效能,製程,製造廠公司地址,劑型,包裝
衛署醫器輸字第017587號,,,,2016-11-02,2006-11-02,醫　器,2,DHA00601758707,戴思林禮亞尚巨細胞病毒免疫球蛋白G檢測試劑及品管組,"DiaSorin LIAISON CMV IgG & LIAISON Control CMV IgG","C 免疫學及微生物學裝置","C3175 巨細胞病毒血清試劑","輸　入 ",太暘生物科技股份有限公司,新北市汐止區康寧街169巷25號13樓,20921362,"DIASORIN S.P.A.","VIA CRESCENTINO SNC, 13040 SALUGGIA (VC), ITALY",ITALY,2011-08-12,使用化學冷光免疫分析(CLIA)技術以定量測定人類血清或血漿檢體的hCMV專一免疫球蛋白G抗體。,,,,
衛署醫器輸字第017588號,,,,2016-11-02,2006-11-02,醫　器,2,DHA00601758809,脂質分析用品管液-液狀,"MAS Lipid","A 臨床化學及臨床毒理學","A1660 品管材料(分析與非分析)","輸　入 ",醫全實業股份有限公司,台北市大安區和平東路二段107巷23之9號2樓,09436650,"MICROGENICS CORPORATION","46360 FREMONT BOULEVARD, FREMONT CA, 94538 USA","UNITED STATES",2012-05-03,"MAS Lipid品管液，主要作用為提供一已知濃度的檢體來監測定量分析人類血清檢體中內含的Lipid。",,,,
衛署醫器輸字第017589號,,,,2016-11-02,2006-11-02,醫　器,2,DHA00601758901,血中酒精/血中氨分析用品管液-液狀,"MAS Alcohol/Ammonia","A 臨床化學及臨床毒理學","A1660 品管材料(分析與非分析)","輸　入 ",醫全實業股份有限公司,台北市大安區和平東路二段107巷23之9號2樓,09436650,"MICROGENICS CORPORATION","46360 FREMONT BOULEVARD, FREMONT CA, 94538 USA","UNITED STATES",2012-03-15,"MAS Alcohol/Ammonia品管液，主要作用為提供一已知濃度的檢體來監測定量分析人類血清和/或血漿中檢體內含的Alcohol/Ammonia的過程。",,,,
衛署醫器輸字第017590號,,,,2016-11-02,2006-11-02,醫　器,2,DHA00601759009,H系列生化分析用品管液-液狀,"CHEMTRAK ？H","A 臨床化學及臨床毒理學","A1660 品管材料(分析與非分析)","輸　入 ",醫全實業股份有限公司,台北市大安區和平東路二段107巷23之9號2樓,09436650,"MICROGENICS CORPORATION","46360 FREMONT BOULEVARD, FREMONT CA, 94538 USA","UNITED STATES",2012-03-12,chemTRAK？H品管液，主要作用為提供一已知組成濃度的檢體來監測分析病人檢體所分析項目的組合如附表，操作者可由附表得到分析的期望值如中心值及分析可接受的範圍值，分析項目。,,,,
衛署醫器輸字第017591號,,,,2016-11-02,2006-11-02,醫　器,2,DHA00601759101,脊髓液分析用品管液-液狀,"MAS CSF","A 臨床化學及臨床毒理學","A1660 品管材料(分析與非分析)","輸　入 ",醫全實業股份有限公司,台北市大安區和平東路二段107巷23之9號2樓,09436650,"MICROGENICS CORPORATION","46360 FREMONT BOULEVARD, FREMONT CA, 94538 USA","UNITED STATES",2012-03-01,"MAS CAF品管液，主要作用為提供一已知組成濃度的脊髓液檢體來監測分析病人脊髓液檢體所分析項目的組合如附表，操作者可由附表得到分析的期望值如中心值及分析可接受的範圍值，分析項目。",,,,
衛署醫器輸字第017592號,已註銷,2012-11-06,許可證已逾有效期,2011-11-02,2006-11-02,醫　器,2,DHA00601759200,"貝克曼庫爾特庫爾特AcT Diff血液分析儀","BECKMAN COULTER COULTER AcT Diff Hematology Analyzer","B 血液學及病理學裝置","B5220 自動區別細胞計數器","輸　入 ",美商貝克曼庫爾特有限公司台灣分公司,台北市大安區敦化南路二段216號8樓,09435364,"BECKMAN COULTER, INC.","11800 S.W. 147 AVENUE, MIAMI, FL 33196, U.S.A.","UNITED STATES",2012-11-07,,,,,
衛署醫器輸字第017592號,已註銷,2012-11-06,許可證已逾有效期,2011-11-02,2006-11-02,醫　器,2,DHA00601759200,"貝克曼庫爾特庫爾特AcT Diff血液分析儀","BECKMAN COULTER COULTER AcT Diff Hematology Analyzer","B 血液學及病理學裝置","B5220 自動區別細胞計數器","輸　入 ",美商貝克曼庫爾特有限公司台灣分公司,台北市大安區敦化南路二段216號8樓,09435364,"BECKMAN COULTER INC.","4300 N. HARBOR BOULEVARD, FULLERTON, CA 92835, U.S.A.","UNITED STATES",2012-11-07,,,,,
衛署醫器輸字第017593號,,,,2016-11-02,2006-11-02,醫　器,2,DHA00601759302,邦迪斯自由輕鏈Lambda分析組(貝克曼),"FREELITE HUMAN LAMBDA FREE KIT (Beckman)","C 免疫學及微生物學裝置","C5550 免疫球蛋白(特定輕鏈)免疫試驗系統","輸　入 ",太暘生物科技股份有限公司,新北市汐止區康寧街169巷25號13樓,20921362,"THE BINDING SITE GROUP LIMITED","8 CALTHORPE ROAD, EDGBASTON, BIRMINGHAM B15 1QT, UNITED KINGDOM","UNITED KINGDOM",2012-10-25,"本試劑組可用於THE Beckman Coulter IMMAGE/IMMAGE&reg; 800 (貝克曼)機型對血清或尿液中游離型Lambda輕鏈之定量分析。",,,,
衛署醫器輸字第017594號,,,,2016-11-02,2006-11-02,醫　器,2,DHA00601759404,腫瘤標幟分析用品管液-液狀,"MAS T-Marker","A 臨床化學及臨床毒理學","A1660 品管材料(分析與非分析)","輸　入 ",醫全實業股份有限公司,台北市大安區和平東路二段107巷23之9號2樓,09436650,"MICROGENICS CORPORATION","46360 FREMONT BOULEVARD, FREMONT CA, 94538 USA","UNITED STATES",2012-04-27,提供一已知濃度的檢體來監測定量分析人類血清檢體中內含的腫瘤標誌。,,,,
衛署醫器輸字第017595號,,,,2016-11-02,2006-11-02,醫　器,2,DHA00601759506,糖尿病分析用品管液-液狀,"MAS Diabetes Control","A 臨床化學及臨床毒理學","A1660 品管材料(分析與非分析)","輸　入 ",醫全實業股份有限公司,台北市大安區和平東路二段107巷23之9號2樓,09436650,"MICROGENICS CORPORATION","46360 FREMONT BOULEVARD, FREMONT CA, 94538 USA","UNITED STATES",2012-03-01,"提供一已知濃度的檢體來監測定量分析人類血清檢體中內含的Hemoglobin Alc。",,,,
衛署醫器輸字第017596號,,,,2016-11-02,2006-11-02,醫　器,2,DHA00601759608,免疫學分析用品管液-液狀,"MAS Immunology","A 臨床化學及臨床毒理學","A1660 品管材料(分析與非分析)","輸　入 ",醫全實業股份有限公司,台北市大安區和平東路二段107巷23之9號2樓,09436650,"MICROGENICS CORPORATION","46360 FREMONT BOULEVARD, FREMONT CA, 94538 USA","UNITED STATES",2012-04-12,提供一已知濃度的免疫學組成檢體，來監測分析病人血清檢體。,,,,
衛署醫器輸字第017597號,,,,2016-11-06,2006-11-06,醫　器,2,DHA00601759700,"""依免可"" 補體對照血球","""Immucor"" Complement Control Cells","B 血液學及病理學裝置","B9650 血庫作業反應劑之品管器材","輸　入 ",永弘科技有限公司,台北市士林區文林路７６５號３樓之１０,89943003,"IMMUCOR, INC.","3130 GATEWAY DRIVE NORCROSS GEORGIA 30071 U.S.A.","UNITED STATES",2011-08-04,作為確認抗人體球蛋白之Anti-C3補體反應度。,,,,
衛署醫器輸字第017598號,,,,2016-11-06,2006-11-06,醫　器,2,DHA00601759802,諾法鐵抗德國麻疹病毒免疫球蛋白M酵素免疫分析套組,"NovaTec RUBELLA VIRUS IgM u-Capture ELISA","C 免疫學及微生物學裝置","C3510 德國麻疹病毒血清試劑","輸　入 ",太暘生物科技股份有限公司,新北市汐止區康寧街169巷25號13樓,20921362,"NOVATEC IMMUNDIAGNOSTICA GMBH","WALDSTRABE 23 A6, D-63128 DIETZENBACH, GERMANY",GERMANY,2011-05-31,定性偵測人體血清中抗德國麻疹病毒之免疫球蛋白M抗體。,,,,
衛署醫器輸字第017599號,,,,2016-11-06,2006-11-06,醫　器,2,DHA00601759901,諾法鐵人類抗弓漿蟲免疫球蛋白M酵素免疫分析套組,"NovaTec TOXOPLASMA GONDII IgM u-Capture ELISA","C 免疫學及微生物學裝置","C3780 嚙齒動物弓漿蟲血清試劑","輸　入 ",太暘生物科技股份有限公司,新北市汐止區康寧街169巷25號13樓,20921362,"NOVATEC IMMUNDIAGNOSTICA GMBH","WALDSTRABE 23 A6, D-63128 DIETZENBACH, GERMANY",GERMANY,2011-06-24,定性偵測人體血清中抗弓漿蟲免疫球蛋白M分型抗體。,,,,
衛署醫器輸字第017600號,,,,2016-11-06,2006-11-06,醫　器,2,DHA00601760002,"""西門子""革蘭氏陽性菌培養鑑定系統","""SIEMENS""Dried Pos BP Combo panel","C 免疫學及微生物學裝置","C1640 抗菌感受性試驗粉末","輸　入 ",西門子股份有限公司,台北市南港區園區街３號８樓,23526674,"SIEMES HEALTHCARE DIAGNOSTICS INC.","2040 ENTERPRISE BLVD. WEST SACRAMENTO, CA 95691, U.S.A.","UNITED STATES",2014-04-11,"用於抗菌感受性試驗及/或鑑別生長快速之需氧及兼性革蘭氏陽性球菌，部分挑剔性需氧革蘭氏陽性球菌與李斯特菌(Listeria monocytogenes)。",,,,
衛署醫器輸字第017601號,,,,2016-11-06,2006-11-06,醫　器,2,DHA00601760101,“西門子”革蘭氏陰性菌培養鑑定系統,"“SIEMENS”Dried Neg BP Combo Panel","C 免疫學及微生物學裝置","C1640 抗菌感受性試驗粉末","輸　入 ",西門子股份有限公司,台北市南港區園區街３號８樓,23526674,"SIEMENS HEALTHCARE DIAGNOSTICS INC.","2040 ENTERPRISE BLVD. WEST SACRAMENTO, CA 95691, U.S.A.","UNITED STATES",2014-04-11,用於抗菌感受性試驗及/或鑑別需氧及兼性厭氧之革蘭氏陰性桿菌。,,,,
衛署醫器輸字第017602號,,,,2016-11-06,2006-11-06,醫　器,2,DHA00601760203,"""西門子"" 革蘭氏陽性菌折點複合板第21型","""SIEMENS"" Dried Pos Combo Type 21","C 免疫學及微生物學裝置","C1700 抗菌感受性試驗培養基","輸　入 ",西門子股份有限公司,台北市南港區園區街３號８樓,23526674,"SIEMENS HEALTHCARE DIAGNOSTICS INC.","2040 ENTERPRISE BLVD. WEST SACRAMENTO, CA 95691, U.S.A.","UNITED STATES",2014-04-11,設計用來對快速生長的喜氧和兼性厭氧革蘭氏陽性球菌、不易於培養基上生長的革蘭氏陽性菌以及某些單核細胞增多性李斯特桿菌的抗生素感受性和/或菌種身分進行鑑定。,,,,
衛署醫器輸字第017603號,,,,2016-11-06,2006-11-06,醫　器,2,DHA00601760305,心臟標誌免疫分析用品管液-液狀,"CardioImmune ？XL","A 臨床化學及臨床毒理學","A1660 品管材料(分析與非分析)","輸　入 ",醫全實業股份有限公司,台北市大安區和平東路二段107巷23之9號2樓,09436650,"MICROGENICS CORPORATION","46360 FREMONT BOULEVARD, FREMONT CA, 94538 USA","UNITED STATES",2012-05-02,"CardioImmune ？XL品管液，主要作用為提供一已知濃度血清的心臟標幟組成的檢體來監測分析病人血清檢體所分析項目的組合如附表，操作者可由附表得到分析的期望值如中心值及分析可接受的範圍值，分析項目。",,,,
衛署醫器輸字第002440號,已註銷,1990-02-26,有效期限已屆,1988-01-27,1983-01-27,醫　器,,DHA00600244001,陰道鏡,"""FRIGITRONICS""COLPOSCOPE","0924 陰道鏡",,"輸　入 ",醫達儀器股份有限公司,台北巿信義路四段１５１號１２樓,36537081,"FRIGITRONICS OF CONNECTICUT INCORPORATED","770 RIVER ROAD SHELTON CONN. 06484 USA","UNITED STATES",2001-12-30,,,,,
衛署醫器輸字第017604號,已註銷,2012-10-29,許可證已逾有效期,2011-11-07,2006-11-07,醫　器,2,DHA00601760407,三盟英飛堤血氨試驗校正品,"Thermo InfinityTM Ammonia Standard Set","A 臨床化學及臨床毒理學","A1150 校正品","輸　入 ",醫全實業股份有限公司,台北市大安區和平東路二段107巷23之9號2樓,09436650,"THERMO ELECTRON CORPORATION","189-199 BROWNS ROAD, NOBLE PARK VIC., 3174, AUSTRALIA",AUSTRALIA,2012-10-31,,,,,
衛署醫器輸字第017605號,,,,2017-02-24,2006-11-08,醫　器,3,DHA00601760509,"亞培AxSYM B型肝炎表面抗原試劑","AxSYM HBsAG (V2)","B 血液學及病理學裝置","B4020 分析特定試劑","輸　入 ",美商亞培股份有限公司台灣分公司,台北市中山區民生東路三段49號5樓、6樓及51號6樓,30961216,"ABBOTT GMBH & CO.KG","MAX-PLANCK-RING 2,65205 WIESBADEN,GERMANY",GERMANY,2014-08-04,微粒酵素免疫分析法定性測試人類血清或血漿中之HBsAg。,,,,
衛署醫器輸字第017606號,,,,2016-11-10,2006-11-10,醫　器,2,DHA00601760601,萬利達微陣列微珠篩選人類白血球抗體偵測試劑組,"One Lambda LABScreen","B 血液學及病理學裝置","B0001 人類白血球抗原分型盤","輸　入 ",太暘生物科技股份有限公司,新北市汐止區康寧街169巷25號13樓,20921362,"ONE LAMBDA, INC.","21001 KITTRIDGE STREET, CANOGA PARK, CA 91303, USA","UNITED STATES",2011-10-31,LABScreen產品是使用流式細胞測量的技術來偵測HLA抗體。,,,,
衛署醫器輸字第017607號,已註銷,2012-11-06,許可證已逾有效期,2011-11-10,2006-11-10,醫　器,3,DHA00601760700,"""美敦力"" 茵得芙釋放型冠狀動脈支架系統","""Medtronic"" Endeavor Eluting Coronary Stent System","E 心臟血管用裝置","E0001 心血管支架","輸　入 ",美敦力醫療產品股份有限公司,台北市中山區建國北路二段120號13樓,12690579,"MEDTRONIC IRELAND","PARKMORE BUSINESS PARK WEST, GALWAY, IRELAND",IRELAND,2012-11-07,,,,,
衛署醫器輸字第017608號,,,,2016-11-14,2006-11-14,醫　器,2,DHA00601760802,亞培腫瘤標記品管液,"ABBOTT Tumor Marker-MCC (Lyophilized) Level 1 and 2","A 臨床化學及臨床毒理學","A1660 品管材料(分析與非分析)","輸　入 ;;委託製造",美商亞培股份有限公司台灣分公司,台北市中山區民生東路三段49號5樓、6樓及51號6樓,30961216,"ABBOTT LABORATORIES","100/200 ABBOTT PARK ROAD, ABBOTT PARK, ILLINOIS 60064, U.S.A.","UNITED STATES",2014-08-04,此品管液用以監控實驗室分析測試步驟之精確度的一種已知濃度的品管物質。,委託製造者,,,
衛署醫器輸字第017608號,,,,2016-11-14,2006-11-14,醫　器,2,DHA00601760802,亞培腫瘤標記品管液,"ABBOTT Tumor Marker-MCC (Lyophilized) Level 1 and 2","A 臨床化學及臨床毒理學","A1660 品管材料(分析與非分析)","輸　入 ;;委託製造",美商亞培股份有限公司台灣分公司,台北市中山區民生東路三段49號5樓、6樓及51號6樓,30961216,"BIO-RAD LABORATORIES","9500 JERONIMO ROAD, IRVINE, CA 92618, U.S.A.","UNITED STATES",2014-08-04,此品管液用以監控實驗室分析測試步驟之精確度的一種已知濃度的品管物質。,"Manufactured by",,,
衛署醫器輸字第017609號,,,,2016-11-16,2006-11-16,醫　器,2,DHA00601760904,實驗儀器公司頂極凝集器械分析儀,"IL ACL TOP Coagulation Analyzers","B 血液學及病理學裝置","B5400 凝集器械","輸　入 ",泓展有限公司,台北市中山區敬業一路１６０號７樓,12554363,"INSTRUMENTATION LABORATORY CO.","180 HARTWELL RD. BEDFORD, MA 01730-2443 USA","UNITED STATES",2012-05-29,"ACL TOP是桌上型全自動隨機處理的血液凝固分析儀，於臨床體外診斷使用，在大量常規的實驗室及特殊的實驗室用來測試血液凝固及纖維蛋白溶解的試驗，並提供血液凝固測量與計算參數的結果。",,,,
衛署醫器輸字第017610號,,,,2016-11-20,2006-11-20,醫　器,2,DHA00601761002,亞培免疫多項目品管液,"ABBOTT Immunoassay-MCC (Liquid) Level 1, 2 and 3","A 臨床化學及臨床毒理學","A1660 品管材料(分析與非分析)","輸　入 ",美商亞培股份有限公司台灣分公司,台北市中山區民生東路三段49號5樓、6樓及51號6樓,30961216,"ABBOTT LABORATORIES","100/200 ABBOTT PARK ROAD, ABBOTT PARK, ILLINOIS 60064, U.S.A.","UNITED STATES",2014-08-04,此品管液用以監控實驗室分析測試步驟之精確度的一種已知濃度的品管物質。,,,,
衛署醫器輸字第017610號,,,,2016-11-20,2006-11-20,醫　器,2,DHA00601761002,亞培免疫多項目品管液,"ABBOTT Immunoassay-MCC (Liquid) Level 1, 2 and 3","A 臨床化學及臨床毒理學","A1660 品管材料(分析與非分析)","輸　入 ",美商亞培股份有限公司台灣分公司,台北市中山區民生東路三段49號5樓、6樓及51號6樓,30961216,"BIO-RAD LABORATORIES","9500 JERONIMO ROAD, IRVINE, CA 92618, U.S.A.","UNITED STATES",2014-08-04,此品管液用以監控實驗室分析測試步驟之精確度的一種已知濃度的品管物質。,,,,
衛署醫器輸字第017611號,,,,2016-11-20,2006-11-20,醫　器,2,DHA00601761104,威達獅游離前列腺癌特異性抗原試劑組,"VIDAS FPSA","C 免疫學及微生物學裝置","C6010 腫瘤相關抗原免疫試驗系統","輸　入 ",香港商生物梅里埃有限公司臺灣分公司,台北市信義區松山路130號8樓,70814161,"BIOMERIEUX SA","CHEMIN DE I'ORME, 69280 MARCY I'ETOILE, FRANCE",FRANCE,2014-08-04,利用ELFA方法定量測量人血清或血漿(鋰肝素或EDTA)中前列腺特異抗原的游離片段的含量。,,,,
衛署醫器輸字第017612號,已註銷,2012-11-09,許可證已逾有效期,2011-11-22,2006-11-22,醫　器,2,DHA00601761206,阿瑪斯自動D雙體檢驗試劑組,"Amax Auto D-Dimer Kit","B 血液學及病理學裝置","B7320 纖維蛋白原?纖維蛋白崩解產品分析","輸　入 ",保成儀器有限公司,台北市大安區瑞安街１３２號３樓,21261769,"TRINITY BIOTECH PLC","IDA BUSINESS PARK, BRAY CO., WICKLOW, IRELAND",IRELAND,2012-11-20,,,,,
衛署醫器輸字第017613號,,,,2016-11-22,2006-11-22,醫　器,2,DHA00601761308,亞培臨床生化免疫球蛋白G檢驗試劑組,"ABBOTT Clinical Chemistry Immunoglobulin G","C 免疫學及微生物學裝置","C5510 免疫球蛋白A，G，M，D及E免疫試驗系統","輸　入 ",美商亞培股份有限公司台灣分公司,台北市中山區民生東路三段49號5樓、6樓及51號6樓,30961216,"ABBOTT LABORATORIES","100/200 ABBOTT PARK ROAD, ABBOTT PARK, ILLINOIS 60064, U.S.A.","UNITED STATES",2014-08-04,"可定量分析人類血清或血漿中之Immunoglobulin G.",,,,
衛署醫器輸字第017614號,,,,2016-11-23,2006-11-23,醫　器,2,DHA00601761400,"""愛匹克"" 心臟燒灼系統","""Epicor"" Cardiac Ablation System","I 一般及整型外科手術裝置","I4400 切割及止血用電刀及其附件","輸　入 ",台灣聖猷達醫療用品有限公司,台北市內湖區瑞光路407號5樓,27967047,"ST. JUDE MEDICAL","240 SANTA ANA COURT SUNNYVALE, CA 94085, U.S.A.","UNITED STATES",2011-08-22,詳如中文仿單核定本,,,,
衛署醫器輸字第017615號,,,,2016-12-19,2006-12-19,醫　器,,DHA00601761502,"""艾柏""電刀配件","""ERBE""Electrosurgical Unit Accessories","I 一般及整型外科手術裝置","I4400 切割及止血用電刀及其附件","輸　入 ",威茂股份有限公司,台北市南港區園區街３號１０樓之５,12966029,"ERBE ELEKTROMEDIZIN GMBH","WALDHORNLESTR.17 D-72072 TU BINGEN GERMANY",GERMANY,2011-09-13,詳如中文仿單核定本,,,,
衛署醫器輸字第017616號,已註銷,2013-01-14,許可證已逾有效期,2011-12-20,2006-12-20,醫　器,2,DHA00601761601,"""歐姆龍""病患生理監視器","""Omron""Patient Monitor","E 心臟血管用裝置","E2300 心臟監視器(包含心動數計和心率警示器)","輸　入 ",台灣歐姆龍健康事業股份有限公司,台北市中山區民權東路三段37號5樓之1,27567470,"OMRON HEALTHCARE CO., LTD.","24 YAMANOSHITA-CHO, YAMANOUCHI, UKYO-KU, KYOTO, 615-0084, JAPAN",JAPAN,2013-01-18,,,,,
衛署醫器輸字第017616號,已註銷,2013-01-14,許可證已逾有效期,2011-12-20,2006-12-20,醫　器,2,DHA00601761601,"""歐姆龍""病患生理監視器","""Omron""Patient Monitor","E 心臟血管用裝置","E2300 心臟監視器(包含心動數計和心率警示器)","輸　入 ",台灣歐姆龍健康事業股份有限公司,台北市中山區民權東路三段37號5樓之1,27567470,"MEDIANA CO., LTD.","#1650-1, DONGHWA-RI, MUNMAK-EUP, WONJU-SI, GANGWON-DO, 220-801, KOREA",KOREA,2013-01-18,,,,,
衛署醫器輸字第017617號,,,,2016-12-20,2006-12-20,醫　器,2,DHA00601761703,"""特浦""造影用延長管","""Top""EXTENSION TUBE INJECTOR TYPE","J 一般醫院及個人使用裝置","J5440 血管內輸液套","輸　入 ",台灣特浦股份有限公司,高雄市大寮區華中路四十號,79880562,"MEDITOP CORPORATION (M) SDN. BHD.","NO.3, PERSIARAN USAHAWAN, TAMAN IKS, SEKSYEN 9, BANDAR BARU BANGI, 43650 SELANGOR DARUL EHSAN, MALAYSIA",MALAYSIA,2011-10-31,詳如中文仿單核定本,,,,
衛署醫器輸字第017618號,,,,2016-12-20,2006-12-20,醫　器,2,DHA00601761805,"""曲克""特波芙洛經導線週邊導入中央靜脈導管組","""Cook""Turbo-Flo Over the Wire Peripherally Inserted Central Venous Catheter(PICC)Set","J 一般醫院及個人使用裝置","J5970 經皮膚植入式長期血管內導管","輸　入 ",台灣曲克股份有限公司,新北市新店區北新路三段207號11樓及207-1號11樓,23162792,"COOK INCORPORATED","750 DANIELS WAY,BLOOMINGTON,IN 47404,U.S.A.","UNITED STATES",2012-05-28,詳如中文仿單核定本,,,,
衛署醫器輸字第017619號,已註銷,2012-11-27,許可證已逾有效期,2011-12-20,2006-12-20,醫　器,2,DHA00601761907,碧藍永久性根管填充材,"Sealite Ultra-Permanent sealing cement for root canal","F 牙科裝置","F3820 根管充填樹脂","輸　入 ",法博國際貿易有限公司,新北市中和區中正路872號7樓,12730447,"PRODUITS DENTAIRES PIERRE ROLLAND.","BP216-ZI-DU-PHARE-33708 MERIGNAC CEDEX-FRANCE.",FRANCE,2012-12-06,,,,,
衛署醫器輸字第017620號,已註銷,2013-01-14,許可證已逾有效期,2011-12-21,2006-12-21,醫　器,2,DHA00601762005,"""曲克""雙豬尾型輸尿管內置導管組","""Cook""Double pigtail stent set","H 胃腸病學-泌尿學科用裝置","H4620 輸尿管支架","輸　入 ",台灣曲克股份有限公司,新北市新店區北新路三段207號11樓及207-1號11樓,23162792,"COOK IRELAND LIMITED","O'HALLORAN ROAD, NATIONAL TECHNOLOGICAL PARK, LIMERICK IRELAND",IRELAND,2013-01-18,,,,,
衛署醫器輸字第002438號,已註銷,1990-02-26,有效期限已屆,1988-01-27,1983-01-27,醫　器,,DHA00600243801,体腔充氣針,"""HSW""INSUFFLATION NEEDLE","1499 其他",,"輸　入 ",天山儀器股份有限公司,台北巿環河南路三段１６１號７樓,15861694,"HENKE-SASS WOLF GMBH","KRONENSTR. 16 D-7200 TUTTLINGEN WEST GERMANY",GERMANY,2001-12-30,,,,,
衛署醫器輸字第017621號,,,,2016-12-21,2006-12-21,醫　器,2,DHA00601762107,"""壯生""單蕎可吸收性縫合線","""Johnson""Monocryl(Poliglecaprone 25)Synthetic Absorbable Suture","I 一般及整型外科手術裝置","I4493 可吸收性多醣體交脂類外科用縫合線","輸　入 ",壯生醫療器材股份有限公司,台北市大安區敦化南路二段319號6樓,16439055,"Johnson & Johnson International, c/o European Logistics Centre","Leonardo Da Vincilaan 15, BE-1831 Diegem, Belgium",BELGIUM,2014-07-29,詳如中文仿單核定本,,,,
衛署醫器輸字第017621號,,,,2016-12-21,2006-12-21,醫　器,2,DHA00601762107,"""壯生""單蕎可吸收性縫合線","""Johnson""Monocryl(Poliglecaprone 25)Synthetic Absorbable Suture","I 一般及整型外科手術裝置","I4493 可吸收性多醣體交脂類外科用縫合線","輸　入 ",壯生醫療器材股份有限公司,台北市大安區敦化南路二段319號6樓,16439055,"ETHICON, A DIVISION OF JOHNSON & JOHNSON MEDICAL LIMITED","SIMPSON PARKWAY, KIRKTON CAMPUS, LIVINGSTON, EH54 7AT, UNITED KINGDOM","UNITED KINGDOM",2014-07-29,詳如中文仿單核定本,,,,
衛署醫器輸字第017622號,,,,2016-12-21,2006-12-21,醫　器,2,DHA00601762209,伊麗視散光軟式隱形眼鏡,"EZ Sight Toric soft contact Lens","M 眼科用裝置","M5925 軟式隱形眼鏡","輸　入 ;;限眼科醫師使用（須經眼科醫師處方使用）",保視力股份有限公司,台中市清水區中興里新興路101號1樓,13078867,"Oculus Private Limited","61, Tai Seng Avenue #05-08/09/10/11/12, UE Print Media Hub, 534167 Singapore",SINGAPORE,2011-07-20,詳如中文仿單核定本,,,,
衛署醫器輸字第017623號,,,,2016-12-21,2006-12-21,醫　器,2,DHA00601762301,伊麗視軟式隱形眼鏡,"EZ Sight soft contact Lens","M 眼科用裝置","M5925 軟式隱形眼鏡","輸　入 ;;限眼科醫師使用（須經眼科醫師處方使用）",保視力股份有限公司,台中市清水區中興里新興路101號1樓,13078867,"Oculus Private Limited","61, Tai Seng Avenue #05-08/09/10/11/12, UE Print Media Hub, 534167 Singapore",SINGAPORE,2011-07-20,詳如中文仿單核定本,,,,
衛署醫器輸字第017624號,已註銷,2012-11-01,許可證已逾有效期,2011-12-22,2006-12-22,醫　器,2,DHA00601762400,"""柯尼卡美能達""醫學影像數位器","""KONICA MINOLTA""DIRECT DIGITIZER","P 放射學科用裝置","P2030 醫學影像數位器","輸　入 ",惠惇貿易有限公司,新北市中和區建八路2號10樓之5,22639003,"KONICA MINOLTA TECHNOPRODUCTS CO., LTD.","2-2-1, HIROSEDAI, SAYAMA-SHI, SAITAMA-KEN, 350-1328 JAPAN",JAPAN,2012-11-07,,,,,
衛署醫器輸字第017627號,已註銷,2012-11-27,許可證已逾有效期,2011-12-25,2006-12-25,醫　器,2,DHA00601762706,"""佳貝士""夸任特通用型複合材","""Cavex""Quadrant Universal LC hybrid composite","F 牙科裝置","F3690 樹脂牙材","輸　入 ",茂傑生技股份有限公司,新北市三重區光復路一段70號5樓,22158378,"CAVEX HOLLAND B.V","HARMENJANSWEG 19-21 P.O.BOX 852, 2003 RW HAARLEM, THE NETHERLANDS",NETHERLANDS,2012-11-28,,,,,
衛署醫器輸字第017629號,,,,2016-12-25,2006-12-25,醫　器,2,DHA00601762900,"""曲克""短發痔瘡結紮器","""Cook""Short Shot Saeed Hemorrhoidal Multi-Band Ligator","H 胃腸病學-泌尿學科用裝置","H4400 痔瘡結紮器","輸　入 ",台灣曲克股份有限公司,新北市新店區北新路三段207號11樓及207-1號11樓,23162792,"COOK IRELAND LIMITED","O'HALLORAN ROAD, NATIONAL TECHNOLOGICAL PARK, LIMERICK IRELAND",IRELAND,2012-05-28,詳如中文仿單核定本,,,,
衛署醫器輸字第017630號,,,,2016-12-25,2006-12-25,醫　器,2,DHA00601763008,"""歐凸""急救甦醒器","""O-Two""Emergency Resuscitator","D 麻醉學科用裝置","D5925 動力式緊急呼吸器","輸　入 ",德化美有限公司,台北市敦化南路一段１０２號５樓之３,23467871,"O-TWO SYSTEMS INTERNATIONAL INC.","7575 KIMBEL STREET, MISSISSAUGA, ONTARIO CANADA L5S 1C8",CANADA,2011-11-29,詳如中文仿單核定本,,,,
衛署醫器輸字第017631號,已註銷,2013-01-17,許可證已逾有效期,2011-12-27,2006-12-27,醫　器,2,DHA00601763100,"""洛明尼斯""牙科用雷射儀","""LUMENIS""Laser instrument for use in dentistry","I 一般及整型外科手術裝置","I4810 一般外科、整形外科及皮膚科用雷射儀","輸　入 ",久和醫療儀器股份有限公司,台北市中山區長春路３８０號５樓,70538519,"LUMENIS LTD.","YOKNEAM INDUSTRIAL PACK P.O.B. 240 YOKNEAM 20692, ISRAEL",ISRAEL,2013-02-25,,,,,
