,Q,A
149,關於乳癌，乳癌的病理報告要注意什麼？,"乳癌的發生人數逐年攀升，一旦得知自己被診斷為乳癌，除了配合醫師安排檢查與治療外，病患應對自己的腫瘤型態有充分的認知，選擇對自己最適合的治療。同樣是乳癌，可以根據荷爾蒙接受體或基因過度表現的有無而分為不同的亞群，預後不盡相同，治療的方向與可應用的藥物也有差異。現行的國際治療共識會依據一些臨床病理特徵，給予建議用藥及後續治療。也因此，病理報告的重要性不只是知道腫瘤分類是哪一種而已，還告訴臨床醫師與病患許多可供參考的重要因子。面對乳癌，唯有充分了解您的腫瘤型態與行為是什麼，才能知己知彼。究竟在閱讀病理報告時需注意哪些重點呢?以下簡單說明在求診過程中，病患可能會遇到的有關病理報告的問題。
一、細胞學檢查
如果臨床上摸得到腫塊或超音波下可見低迴音區域，醫師可能會使用細針施行抽吸細胞學檢查，利用細針抽取少量組織或脫落的細胞，好處是過程快速簡單，可以初步得知腫瘤是否為良性或惡性，缺點是不一定可以拿到足夠細胞來診斷，也很難區分病灶屬於侵犯癌或原位癌。細針抽吸細胞學檢查特異性可接近 100% ，但偶爾仍有偽陽性或偽陰性出現，需要配合臨床觸診和影像學檢查綜合判斷。細針抽吸最大的功能是用來確認惡性病灶而非用來診斷良性病灶，因此，細胞學檢查即使是良性診斷而臨床上仍懷疑惡性時，需做進一步粗針穿刺或切片檢查來確認才是。
二、乳癌的組織病理
不論是利用粗針穿刺或手術切片，所取得的組織在顯微鏡下的病理發現，有許多因子跟臨床預後有非常密切的關係，閱讀病理報告時應注意下列幾項：
1.組織型態／病理分類 (histologic type)
乳癌的組織型態首先得區分為非侵襲性或侵襲性癌，非侵襲性即所謂的原位癌，原位癌的預後比侵襲性癌好很多，5 年存活率幾乎可以達99%，甚至 100%，而原位小葉癌 (LCIS) 更因為預後良好，追蹤 15 年發展為侵襲性癌的機會約只有 21%，臨床上被認為可以當作一種生物標記來看待。侵襲性癌以侵襲性腺管癌佔最多，預後也較差，其他如管狀癌、黏液性癌等預後則較佳。
2.腫瘤大小 (size)
指整個腫瘤的範圍大小。若為原位癌，不管整個腫瘤多大，臨床病理分期都只能算為零期 (Tis)，但原位癌範圍越大，越有機會合併侵襲性癌，需仰賴病理醫師仔細地檢視標本的所有範圍，避免遺漏侵襲性癌的存在，尤其有時會出現小於 0.1 公分的侵襲性癌部分，亦即所謂的顯微侵襲 (microinvasion，T1mic)，只有在顯微鏡下可觀察到。腫瘤大小與臨床疾病分期有關，也就是 TNM 系統中的 “T”，T1 即腫瘤小於 2 公分，臨床分期多屬於第一、二期；腫瘤介於 2 到 5 公分屬 T2；大於 5 公分以上為 T3，出現 T2 和 T3 病灶則臨床分期至少是第二期以上；若腫瘤大於 5 公分，臨床上又合併有皮膚病灶或胸大肌的浸潤則歸屬 T4，臨床分期至少是第三期以上。
3.分級 (grading)
腫瘤細胞分級是對腫瘤細胞分化程度的評估，分為三級。現行的方法是依據腺管形成的比例 (tubule) 、細胞核型態 (pleomorphism) 、分裂數目的多寡 (mitoses) 給予不同程度的計算分數，再將分數相加得到總分，總分 3-5 屬於第一級，6-7 屬於第二級，8-9 屬於第三級。等級越高，分化程度越差，5 年存活率較差，無疾病存活期也較短。
4.淋巴血管侵犯 (lymphovascular invasion)
指在淋巴管或動靜脈的管腔中發現有腫瘤細胞的浸潤，文獻上認為有淋巴血管侵犯的腫瘤較具侵襲性，容易有淋巴結轉移或遠端轉移的機會，預後也較差。
5.淋巴結轉移 (nodal status)
腋下淋巴結是否有轉移，在乳癌的治療上一直是很重要的一環。TNM 系統中的 “N” 代表淋巴結轉移的狀況。N0 指沒有腋下淋巴結轉移，N1 指有 1-3 顆淋巴結轉移，N2 為 4-9 顆淋巴結有發現轉移現象，若有 10 顆以上淋巴結轉移，則定義為 N3。傳統的腋下淋巴結廓清術會將胸小肌外側 (level I) 及下方 (level II) 的淋巴結全數清除，病理報告中所判讀的淋巴結總數至少須大於 10 顆以上，淋巴結轉移的數目才具可信性。若手術中採行先哨淋巴結切片術，淋巴結判讀總數則不在此限。先哨淋巴結切片術因為只有拿少數幾顆淋巴結，病理醫師可以系列細切，增加了發現顯微轉移的機會，顯微轉移亦即小於 0.2 公分的轉移部份，目前臨床意義尚未釐清。
6.邊緣狀態 (margin status)
侵襲性癌施行乳房保留手術或原位癌施行廣泛性切除的病理報告會增列此項，主要原因是只切除部分乳房的手術，邊緣建議距離腫瘤部份達 1 公分以上，若邊緣小於 1 公分，在顯微鏡下病理醫師會列出腫瘤細胞與邊緣的最近距離有多少，再由臨床醫師判斷是否要再行手術切除更多的邊緣，或行放射線治療等等。
7.荷爾蒙接受體 (hormone receptors, ER/PR)
乳癌與荷爾蒙接受體的表現有著非常密切的關係，大量的文獻報告早已證實荷爾蒙接受體是一重要且獨立的預後因子。雌激素接受體 (estrogen receptor, ER) 及黃體素接受體 (progesterone receptor, PR) 的判讀在本院從 2001 年起已是病理報告的標準項目。利用免疫組織化學染色法 (immunohistochemistry stain, IHC) 判讀荷爾蒙接受體在組織內表現的程度，再依此決定是否給予如 Tamoxifen 或芳香環酶抑制劑等荷爾蒙治療。
8.ER2/neu
HER2/neu其結構是一橫跨細胞膜的接受體，在治療上提供了良好的標的，乳癌的病患約有 25% 具有 HER2/neu 腫瘤基因過度表現的情形。現行以 IHC 染色法作為判讀 HER2/neu 的常規方法，由於 IHC 染色法有時仍會有偽陽性或偽陰性的情形，美國國家癌症治療中心 (NCCN) 治療共識中建議操作及判讀的實驗室須定期接受檢測以確認方法及判讀品質無誤，在這樣的實驗室中若結果為 0 或 1+ 即代表 HER2/neu 陰性，3+ 為 HER2/neu 陽性，若結果為 2+ 則建議再做螢光原位雜交技術 (fluorescence in situ hybridization, FISH) 確認腫瘤基因是否有過度表現。HER2/neu 陽性的病患在統計上來說，預後較陰性病患來得差，但在其單株抗體 Trastuzumab (Herceptin) 應用於臨床之後，顯著改善了 HER2/neu 陽性患者的存活率及無疾病存活期。也因此，HER2/neu 的表現與否在臨床上是決定是否使用標靶治療的關鍵之一。
以上只簡列出目前歐美的治療共識中，與病理報告有關，同時會決定治療方向的幾項重要參考依據。事實上，病理醫師所列的報告內容往往更詳細，包括腫瘤壞死、顯微鈣化點、特殊染色等，這些內容以後是否也是重要的預後因子，則留待未來更多研究來證實。簡言之，閱讀病理報告時，腫瘤大小、淋巴結轉移數目決定了臨床分期。荷爾蒙接受體及 HER2/neu 表現與否則決定除了化學治療之外，是否需給予荷爾蒙治療或標靶治療。而以上所列這些預後因子，還包括腫瘤分化程度、淋巴血管侵犯之有無等等，則幫助臨床醫師判定病患的乳癌風險高低，從而決定是否需要化學治療或化學治療該給何種處方。乳癌的治療因為研究的蓬勃發展而有顯著的進步，發現罹患乳癌之後，千萬不要諱疾求醫，應該積極面對並與醫師討論，選擇最適合自己的治療方式，才有機會戰勝它！
乳癌病理報告常見的英文
Tis：原位癌
DCIS（Ductal Carcinoma in Situ）：乳管原位癌
LCIS（Lobular Carcinoma in Situ）：乳小葉原位癌
Non-Invasive Breast Cancer：非侵襲性乳癌
Invasive Ductal Carcinoma：侵襲性乳管癌
Invasive Lobular Carcinoma：侵襲性小葉癌
TNM：乳癌的病理分期
Tumor（T）：腫瘤大小
Bloom-Richardson grades：乳癌細胞分化等級（BR等級）
Differentiated：分化程度
Well differentiated：分化良好
Moderately differentiated：中度分化
Poorly differentiated：分化差
Margins of resection：組織邊緣
Negative margins：表示在組織邊緣沒有發現到乳癌細胞
Positive margins：表示在組織邊緣發現到乳癌細胞
clear margin：表示組織切除邊緣乾淨
close margins：表示組織切除的邊緣與癌細胞相近
Distant metastasis（M）：遠處轉移
ER（Estrogen Receptor）：雌激素接受體
ER+（ER-positive）：乳癌細胞對雌激素呈現陽性反應
ER-（ER-negative）：乳癌細胞對雌激素呈現陰性反應
PR（Progesterone Receptor）：黃體素接受體
PR+（PR-positive）：乳癌細胞對黃體素呈現陽性反應
PR-（PR-negative）：乳癌細胞對黃體素呈現陰性反應
HER2/neu（Human Epidermal Growth Factor Receptor 2）：人類上皮細胞接受器
IHC：免疫化學染色法檢查
FISH：螢光原位雜交法，用來判斷HER2/neu是否有過度表現的檢查法
Over Expression：Her2蛋白就會在細胞膜上過渡表現
High：高度惡性
Intermediate：中等惡性
Low：低度惡性
Paget’s Disease：柏哲德氏症
Regional lymph nodes（N）：局部淋巴結感染情形
Sentinel node：哨兵淋巴結(前哨淋巴結)
"
150,關於乳癌，賀爾蒙接受體（ER&PR）的狀態,"在病理報告中，癌細胞會呈現兩種荷爾蒙接受體的情形，一為雌激素接受體（Estrogen Receptor; ER），一為黃體素接受體（Progesterone Receptor; PR）。
如果病理報告上顯示乳癌細胞對雌激素呈現陽性反應（ER-positive； ER+）、對黃體素呈現陽性反應（PR-positive； PR+），表示乳癌細胞會受到雌激素、黃體素的刺激而生長。如果病理報告上顯示ER-negative(ER-)、PR-negative(PR-)，表示乳癌細胞的生長不受到雌激素與黃體素的影響。
雌激素陽性、黃體素陽性反應的病友，需要接受荷爾蒙治療，降低復發機會。抗賀爾蒙療法於更年期婦女補充賀爾蒙不同，停經前與停經後在賀爾蒙生成上的不同，會用不同的藥物治療，因此仍須依醫師指示服用抗賀爾蒙藥物。
"
151,關於乳癌，乳癌病友社會福利資源,"重大傷病卡：由醫師診斷定所罹患的傷病是屬於公告之重大傷病時，可向健保各分局申請重大傷病證明，癌症即符合重大傷病卡範圍。
符合重大傷病範圍者，醫療團隊會協助開立診斷書及檢附相關資料，經家屬交至本院住院中心，向健保局申請。
功用：門診及住院就醫，只要為重大傷病治療，或併發症相關治療，可免付部分負擔。

政府資源主要須有特定身分，如低收入戶、中低收入戶、勞保投保者及在學學生之家長，才享有的福利，若欲申請低收入戶或中低收入戶福利身分，可向戶籍地里長或公所社會課承辦人詢問；另亦有勞保傷病给付及家中有在學子女之學產基金補助。如為其他有負擔使家中陷入經濟困難的貧困病患，可至臺北榮總社工組申請，詳細如下表。
醫療補助
資格：低收入戶或中低收入戶。
如何申請：檢附申請資料寄至各區公所或縣市政府申請。
補助項目：健保無幾付之自費項目，必須為無法替代、無其他健保可使用之項目者。
補助額度：低收入戶補助100%、中低收入戶扣除2萬元後80%。
馬上關懷、急難救助
資格：負擔家庭主要生計責任者罹患重傷病致生活陷於困境。
如何申請：至居住所在地區公所社會課申請。
補助額度：1萬至3萬元救助金。
時限：事發後3個月內。
學產基金
資格：家中有18歲以下在學中子女，子女多以一個為限。有資產調查，請檢附父母財稅資料。
如何申請：檢附重大傷病卡證明及申請書至學校申請，因各學校申請單位不一，可先詢問子女導師。
補助金額：2萬元。
時限：領到重大傷病卡後3個月內。
勞保傷病给付
資格：投保勞保中，且自住院第4天起给付。
如何申請：檢附勞工保險傷病給付申請書暨給付收據及診斷書，向勞保局申請。给付金額：自第4天起给付投保日薪半額。

社會心理資源部份主要有新北市家庭服務中心、張老師、生命線、台中市心理衛生中心、馬偕協談中心平安線、宇宙光輔導中心，提供心理、電話諮詢服務，對於較不好意思與他人述說的，也可以多多利用此資源喔。

社群資源部分當然有最熟悉的開懷協會、癌症希望協會、中華民國乳癌病友協會、癌症資源網、慈濟慈善事業基金會、善願愛心協會（營養品提供、生活費補助、子女教育費補助、喪葬費補助）等提供資源協助。

"
152,關於乳癌，乳癌常見治療方法有哪些？治療副作用會有什麼？,乳癌治療以手術為主，其他還有全身性的化學治療、標靶治療、荷爾蒙治療以及局部性的放射治療為輔。現今更邁向個人化量身訂製的精準醫療，採集病人的腫瘤切片或血液，找出每個人疾病背後的基因異常或變異，精準分類治療。
153,關於乳癌，為什麼要做化療?,"「化學治療」（化療）是一種治療癌症的方式，以細胞毒性藥物 (cytotoxic drugs) 消滅或抑制體內癌細胞。 
化療的原理是怎樣的？
細胞毒性藥物透過血液循環，經過身體各部位，並以干預乳癌細胞生長及分裂的方式，將其破壞。化療藥物多是混合幾種使用，原理同樣是破壞細胞增生的能力。然而，由於化療藥物不能分辨癌細胞及正常的體內細胞，故此口腔內膜、骨髓、毛囊以至消化系統的細胞，亦不能倖免地被化療藥物破壞。於是，接受化療每每出現一些令人不適的副作用，但這些不適是暫時性的，會隨著健康細胞再次生長而減少及停止。
化療的好處是什麼？
破壞所有癌細胞，有助治療癌症。
減低日後乳癌的復發機會。
手術或電療前接受化療，可令癌腫瘤體積縮小。
控制癌症擴散，減輕可能出現的症狀。
誰決定使用化療？病人與腫瘤科醫生作詳細討論後，再由腫瘤科專科醫生決定是否適合採用化學療法。醫生作考慮的因素，包括腫瘤期數與大小、以及有否出現淋巴擴散等情況。此外，腫瘤的生物特性如受體的狀態，也是重要的考慮因素。
"
154,關於乳癌，乳癌標靶藥物,"分為 4 類:HER2 抑制劑：針對「人類表皮生長因子第二型接受體（HER2）」陽性。
CDK 4/6 抑制劑：針對荷爾蒙接受體陽性，阻斷「細胞週期蛋白依賴型激酶 4 和 6（CDK 4/6）」。"
155,關於乳癌，精準醫療,"標靶藥物升級延伸出第二代、甚且使用雙標靶藥物，大幅提升治療效果。除此之外，第三代標靶藥物也出現，把標靶和化療藥物結合成一個藥物，兼顧標靶藥專一性，加上化療藥物直接進入癌細胞裡，減少全身副作用。目前針對HER2陽性轉移性乳癌患者的治療，已進展到將現有的抗HER2(如賀癌平、泰嘉錠)與新的抗HER2標靶藥物- 賀疾妥雙重結合，並加上歐洲紫杉醇，以雙標靶加上化療的治療策略，讓患者的疾病無惡化存活期時間拉長，已成為治療HER2陽性轉移性乳癌的黃金組合。
國家衛生院院長梁賡義也指出，生技與藥物研究所已研發出一種雙重標靶藥物，融合標靶治療與免疫治療的雙重好處，更避開抗藥性限制，未來將應用在三陰性乳癌等多項癌症用藥開發。
"
156,關於乳癌，乳癌治療費用多少？哪些有納入健保？,"在台灣，絕大多數治療都有健保給付，但因為新藥新治療問世速度加快，健保還必須經過多道審查程序，包含對整體財務的衝擊等，使得新藥如果能拿到健保起付，很可能和最新治療準則（例如NCCN）有 2 年的落差。如果病人想在第一時間使用，必須自費。有的藥物每個月費用高達 10 幾萬、甚至 20 幾萬元。如果癌友沒有商業保險，自費治療是沉重負擔。
根據癌症希望基金會最新調查顯示，自費已成癌症治療常態，在手術、化療、標靶與免疫治療中，近 7 成 5 病人都有自費情形，2 成癌友自費金額破百萬； 4 成的第三期/第四期病友自費金額 50 萬元以上，2 成 5 自費金額上百萬， 自費項目多為標靶治療 ( 53% )與免疫治療( 13% )，癌友大多承受了巨大的經濟壓力。
"
157,關於乳癌，化學治療副作用與飲食改善,"噁心嘔吐
少量多餐，以防胃部過脹。細嚼慢嚥，要有充分的時間進食，以利消化。避免空腹或一次吃太多、太飽。
進食時，避免同時喝水或飲料。食物溫度也要適中否則容易刺激嘔吐。
起床前後或運動前可吃較乾的食物，如餅乾或吐司，可抑制噁心，在運動後勿立即進食。
食用清淡食物，喝清涼不含甜味的飲料，可減輕症狀。
覺得噁心時，可試著以深呼吸的方式來緩解。
避免太刺激或味道太強烈的食物。
應注意水份及電解質的補充。
避免一些特殊的氣味（如香煙、香水、食物異味）來影響自己的心情。
在接受化學治療前二小時內應避免進食，以防止嘔吐。
很嚴重時，請主治醫師進行治療。
腹瀉
採用低纖維食物，以減少糞便的體積。
注意水份及電解質的補充，可多選用鉀含量高的食物，亦可用運動飲料補充水份、電解質。保持定時定量。避免過熱食物，因高溫會加速腸胃蠕動。忌食會產生胃氣痙攣的食物。忌吃高纖維食物（因會加強腸胃蠕動）。避免攝取過量的油脂，油炸食物或太甜的食物。腹瀉嚴重時，須考慮選用清流質飲食，讓腸道獲得休息。避免刺激性食物（如咖啡、茶、調味太重、調味太甜的食物）。
便秘
多吃高纖維食物以及多喝水或果汁。
放鬆緊張或憂鬱的情緒，並做適當運動。
養成良好的排便習慣，嚴重時依醫師指示服用軟便劑。
口腔潰瘍
保持口腔衛生避免感染。
避免刺激性食物或果汁。
可採用軟質而容易吞嚥的食物（如粥、椰奶、西谷米等）。
利用吸管吸吮液體食物。
保持口腔清潔，避免感染。
常用冷開水漱口，可去除食物殘渣及細菌，以免影響傷口的癒合。
少用調味料，特別是鹽會使口腔發熱不適。
忌菸酒。
口腔與喉嚨乾燥或疼痛
多吃水份高的食物、水或飲食。
隨身攜帶水壺，增加多次小口飲用。茶加檸檬汁可減低口乾的感覺。
口含冰塊：但口腔有潰瘍情形時，則應避免。也可口含一些不太甜的糖果或口香糖，以增加唾液分泌。
浸泡食物在湯或水裡，使其軟化易於吞嚥。
用果菜機將食物絞碎。
用吸管吸食。
吃軟質的食物：如冰淇淋、布丁、西瓜、嬰兒食品等。
太甜、太熱、太辣、含有酒精的飲料應避免。
 
白血球下降
進食高蛋白、高熱量及富含維生素A、C、E和礦物質的食物。
盡量不食生菜、生肉，最好帶皮的新鮮水果。
避免暴露在冷風及公共場所，更須避免接觸已受到感染的人。
如有發燒、喉嚨痛、咳嗽、鼻塞或是感到排尿燒灼時請告訴醫師。
"
158,關於乳癌，什麼是臨床試驗?,"簡單的說，臨床試驗就是應用科學方法，探討一個新的治療藥物或模式，是不是比傳統的治療方式效果更好？經由這樣的科學研究方法，找到對人類更新更佳的治療模式，促使醫學發展更進一步。
臨床試驗存在的價值?
對病人而言，目前所有認為理所當然的治療藥物或方式，都是前人的臨床試驗所累積的寶貴成果。舉例來說，對一個癌症的病人，法律准於醫師將一個可能降低白血球，增加病人感染風險的化學藥物注入人體內治療疾病，甚至冒著其他組織或器官功能可能受損的風險 ，其憑藉的就是證實該化學藥物對於某特定疾病有具體療效的實驗結果，臨床試驗的結果能幫助醫師發現有效且安全的新療法，如果試驗結果證實新的療法比舊療法更有效，就可能成為新的「標準療法」，進而改善病人的疾病，成就一個新的希望。
什麼期況下需要臨床試驗?
如果臨床試驗探討的問題重要性不高，探討的問題違背一般普遍的認知或問題的答案顯而易見，這些試驗就沒有存在的價值。臨床試驗要探討的問題一定是目前的治療過程或效果不夠理想，臨床試驗要提供一個新的機會，以期改善目前的治療效果或副作用。
臨床試驗安全嗎?
就藥物而言，進入人體之前，一定要有充分的臨床前期結論支持 (包含細胞及動物上的研究) ，才能啟動藥物在病人身上，同時先要徵求健康志願者，找出最適宜的藥物劑量，研究的對象初步須從現有治療方式控制不佳的病人進行，如有正面的結果，才會進一步令人振奮的療效，才會擴大研究對象，進行較大規模的臨床試驗。在醫療院所執行的臨床試驗研究，都需要備妥完整的研究計畫書，包含啟動研究的科學證據，詳細的知情同意書等等，經過該醫療院內的人體試驗倫理委員會的審查，人體試驗倫理委員會的成員組成包括醫療專業人士、社會公正人士、法律專家、統計專家及病友等組成，以獨立、專業且嚴謹的態度審查每一案的臨床試驗研究計畫，審查的重點包含進行試驗的目的、試驗程序等、其他可能替代的治療方式、參與研究的副作用、風險、好處及有無損及病人權益等，並須確保這些風險帶來的可能傷害已經盡力降到最小程度，並評估參與研究者能從本研究中得到的預期好處，此研究可能會治癒疾病、可能不會治癒疾病但可改善受試者的生活品質，或對參加的人可能不會有好處，但對醫學研究的進步或對未來患有相同疾病的人可藉此發現新的治療方式而有所貢獻等，以決定是否通過該計畫。倘若該試驗之受試者風險大，而對於科學知識沒有任何好處的研究，將不會通過審查。順利通過執行醫院之人體試驗倫理委員會審查後，尚需進一步送交行政院衛生福利部核准，才可正式執行。多重且繁複的審查機制就是要確保受試者及民眾的健康與福祉。
參加臨床試驗有什麼好處?
參加臨床試驗的病人，除了有機會得到最新的藥物治療，且在參與臨床試驗的過程中，因有特定的治療計畫及規則，且有專業研究團隊成員的協助，專屬的臨床研究人員對受試者嚴密的監控健康狀態，因此會得到比一般病人更多且更嚴謹周全的照顧及監測。除此之外，臨床試驗研究結果更是促進醫學進步的重要證據，對於醫學研究有非常大的貢獻。
參加臨床試驗有無副作用?
任何治療即使是標準療法也可能存在有不等的副作用和風險，臨床試驗當然會因為療法的類型和病人的情況而存在有副作用及可預知或不可預知的風險。尤其，治療的副作用是因人而異的， “新”的試驗領域，除了帶來令人期望的好處之，也可能會帶來不可預知的風險和副作用。參加試驗的受試者，有權在任何時間因為個人意願而隨時終止參與試驗，並且獲得適當的醫療照護。
臨床試驗的分期（Phase I、II、III、IV）代表什麼？
第一期臨床試驗（Phase I）：主要是進行人體的藥物學研究，對象可能為健康的受試驗者，或某些特定疾病的受試驗者族群，主要是為瞭解藥品在動物階段的療效和人體是否一樣，找出藥物對人類治療的安全劑量。
第二期臨床試驗（Phase II）：為探索藥物的治療效果。
第三期臨床試驗（Phase III）：與現行的標準療法作比較，評估藥物應用於適應症及受試者是否有效果及安全性。
第四期臨床試驗（Phase IV）：則是藥物上市後的追蹤。
病人如何看待臨床試驗?
現有的治療選擇或療效不盡完善，才有臨床試驗存在的空間。而臨床試驗在學者專家的層層把關與審核，須能充分保障病人的權益方可執行。因此，美國國家癌症資訊網的專家共識是鼓勵無法治癒的病人參加臨床試驗研究。因此，當您的主治醫師與您提及臨床試驗時，我們鼓勵病人以正面態度看待臨床試驗，勇於跟您的主治醫師討論參與臨床試驗的利弊得失。
"
159,關於乳癌，參加臨床試驗變成白老鼠？,"美國國家癌症資訊網（NCCN）提供的專家治療共識認為，對任何一位癌症病患最好的治療方法是提供適當的臨床試驗。對於臨床試驗的觀念，早已打破過去宛如被當成白老鼠的形式。好的臨床試驗必須符合人體試驗倫理，對於受試者提供標準以上的治療方式，也就是治療選擇中，最少需包含符合現行治療共識中的標準治療，再視分組情形加上實驗藥物。對於受試者，必須有標準流程監測其服藥情形、副作用、相關檢查及後續追蹤，訂有停藥標準及藥害處理流程，也因此對受試者能確保服藥順從性，完整治療並定期追蹤。
能進入（新）輔助性治療的藥物試驗，必須在實驗室（臨床前期，pre-clinical）及多重藥物治療後失敗的轉移性腫瘤上證實有效，且通過藥物動力學研究，了解其藥理、毒理學機制、適當劑量及可能副作用後，才能進一步用在手術前後的輔助性治療上。現有的臨床試驗多屬第二、三階段的臨床試驗，所謂臨床試驗第二階段（Phase II）為選擇少數病患（約 100 名），初步觀察該藥物可能之療效，以確定適當的治療劑量與範圍，並提供是否進入臨床試驗第三階段（Phase III）之參考；臨床試驗第三階段（Phase III）則為大規模的收集病患達數百或數千人以上，也通常為跨國際多醫學中心之聯合試驗，目的為客觀確認藥物療效、適應症、交互作用等，因此，此階段之試驗通常花費最為龐大的金錢、人力及物力。乳癌病友應充分了解醫師為您制訂的治療計畫，詢問是否有適合的臨床試驗可以參加，對於治療的完整性，相信能提供更多選擇。
"
